#       k             kp                 V11                    V12                    V21                    V22          
   0.006239       9.155759         3.209619e-36           -1.692551e-37          -1.086238e-41          4.395736e-42      
   0.006239       9.466856         -3.617976e-39          -1.651819e-39          4.536136e-44           3.572892e-45      
   0.006239       9.776695         -7.288015e-42          2.417950e-42           -3.953569e-47          -1.078344e-47     
   0.006239       10.084440        3.297433e-44           -1.878049e-45          -1.005898e-49          2.069549e-50      
   0.006239       10.389261        -5.000916e-47          -3.777227e-48          2.629479e-52           1.382310e-53      
   0.006239       10.690338        2.769570e-50           6.275830e-51           -1.676619e-55          -3.746952e-56     
   0.006239       10.986857        2.077208e-53           -1.635081e-53          -3.654022e-58          8.109826e-59      
   0.006239       11.278020        -9.509538e-51          -3.002089e-51          -1.474516e-56          -4.655640e-57     
   0.006239       11.563042        -2.684140e-48          -8.948137e-49          -4.319667e-54          -1.440392e-54     
   0.006239       11.841155        2.493441e-45           8.773906e-46           3.612014e-51           1.271231e-51      
   0.006239       12.111608        5.852401e-42           2.129510e-42           8.782644e-48           3.195798e-48      
   0.006239       12.373673        7.095977e-39           2.650676e-39           1.073265e-44           4.009170e-45      
   0.006239       12.626644        6.335448e-36           2.410377e-36           9.620156e-42           3.660087e-42      
   0.006239       12.869837        4.363633e-33           1.678874e-33           6.643826e-39           2.556167e-39      
   0.006239       13.102598        2.304820e-30           8.912560e-31           3.516678e-36           1.359875e-36      
   0.006239       13.324299        9.135344e-28           3.533377e-28           1.396420e-33           5.401099e-34      
   0.006239       13.534343        2.644699e-25           1.019506e-25           4.049298e-31           1.560969e-31      
   0.006239       13.732162        5.436607e-23           2.084087e-23           8.336471e-29           3.195739e-29      
   0.006239       13.917225        7.720224e-21           2.940166e-21           1.185454e-26           4.514689e-27      
   0.006239       14.089032        7.385870e-19           2.794842e-19           1.135569e-24           4.297053e-25      
   0.006239       14.247120        4.649328e-17           1.749527e-17           7.156769e-23           2.693078e-23      
   0.006239       14.391062        1.895190e-15           7.101136e-16           2.920519e-21           1.094302e-21      
   0.006239       14.520471        4.911755e-14           1.834885e-14           7.576741e-20           2.830459e-20      
