#       k             kp                  V           
   0.015318       3.004739         4.771862e-04      
   0.015318       3.024957         3.654216e-04      
   0.015318       3.061273         2.067734e-04      
   0.015318       3.113597         5.555969e-05      
   0.015318       3.181789         -4.399832e-05     
   0.015318       3.265666         -7.759246e-05     
   0.015318       3.365002         -6.307809e-05     
   0.015318       3.479529         -3.276791e-05     
   0.015318       3.608938         -1.025673e-05     
   0.015318       3.752880         -9.172975e-07     
   0.015318       3.910968         7.458008e-07      
   0.015318       4.082775         3.679718e-07      
   0.015318       4.267838         6.886178e-08      
   0.015318       4.465657         7.540203e-10      
   0.015318       4.675701         -1.956192e-09     
   0.015318       4.897402         -2.798702e-10     
   0.015318       5.130163         1.621228e-12      
   0.015318       5.373356         2.837192e-12      
   0.015318       5.626327         1.056327e-13      
   0.015318       5.888392         -9.231418e-15     
   0.015318       6.158845         -3.697261e-16     
   0.015318       6.436958         1.402574e-17      
   0.015318       6.721980         3.154275e-19      
   0.015318       7.013143         -1.014625e-20     
   0.015318       7.309662         -3.596741e-23     
   0.015318       7.610739         2.346425e-24      
   0.015318       7.915560         -1.231823e-26     
   0.015318       8.223305         -8.008492e-29     
   0.015318       8.533144         9.085916e-31      
   0.015318       8.844241         -2.607970e-33     
   0.015318       9.155759         -2.607838e-37     
   0.015318       9.466856         2.069570e-38      
   0.015318       9.776695         -7.674789e-41     
   0.015318       10.084440        1.862993e-43      
   0.015318       10.389261        -3.012575e-46     
   0.015318       10.690338        2.554504e-49      
   0.015318       10.986857        -2.610644e-52     
   0.015318       11.278020        -1.744357e-49     
   0.015318       11.563042        -8.006544e-47     
   0.015318       11.841155        -1.494238e-44     
   0.015318       12.111608        2.503096e-41      
   0.015318       12.373673        4.185785e-38      
   0.015318       12.626644        3.994905e-35      
   0.015318       12.869837        2.769630e-32      
   0.015318       13.102598        1.440354e-29      
   0.015318       13.324299        5.566459e-27      
   0.015318       13.534343        1.563743e-24      
   0.015318       13.732162        3.111280e-22      
   0.015318       13.917225        4.270444e-20      
   0.015318       14.089032        3.946373e-18      
   0.015318       14.247120        2.400664e-16      
   0.015318       14.391062        9.460665e-15      
   0.015318       14.520471        2.379488e-13      
   0.015318       14.634998        3.767031e-12      
   0.015318       14.734334        3.908725e-11      
   0.015318       14.818211        2.463611e-10      
   0.015318       14.886403        9.096456e-10      
   0.015318       14.938727        2.280775e-09      
   0.015318       14.975043        4.747406e-09      
   0.015318       14.995261        8.826064e-09      
   0.028399       0.001185         -1.980378e+00     
   0.028399       0.006239         -1.980312e+00     
   0.028399       0.015318         -1.979901e+00     
   0.028399       0.028399         -1.978752e+00     
   0.028399       0.045447         -1.976224e+00     
   0.028399       0.066417         -1.971531e+00     
   0.028399       0.091251         -1.963756e+00     
   0.028399       0.119882         -1.951891e+00     
   0.028399       0.152235         -1.934907e+00     
   0.028399       0.188220         -1.911826e+00     
   0.028399       0.227742         -1.881814e+00     
   0.028399       0.270694         -1.844258e+00     
   0.028399       0.316959         -1.798822e+00     
   0.028399       0.366414         -1.745475e+00     
   0.028399       0.418925         -1.684467e+00     
   0.028399       0.474351         -1.616273e+00     
   0.028399       0.532541         -1.541518e+00     
   0.028399       0.593339         -1.460908e+00     
   0.028399       0.656582         -1.375176e+00     
   0.028399       0.722098         -1.285064e+00     
   0.028399       0.789711         -1.191319e+00     
   0.028399       0.859239         -1.094715e+00     
   0.028399       0.930495         -9.960858e-01     
   0.028399       1.003286         -8.963568e-01     
   0.028399       1.077416         -7.965773e-01     
   0.028399       1.152685         -6.979281e-01     
   0.028399       1.228890         -6.017040e-01     
   0.028399       1.305826         -5.092708e-01     
   0.028399       1.383286         -4.220036e-01     
   0.028399       1.461060         -3.412082e-01     
   0.028399       1.538940         -2.680307e-01     
   0.028399       1.616714         -2.033659e-01     
   0.028399       1.694174         -1.477798e-01     
   0.028399       1.771110         -1.014604e-01     
   0.028399       1.847315         -6.420500e-02     
   0.028399       1.922584         -3.544557e-02     
   0.028399       1.996714         -1.431033e-02     
   0.028399       2.069505         2.866023e-04      
   0.028399       2.140761         9.540612e-03      
   0.028399       2.210289         1.465288e-02      
   0.028399       2.277902         1.674208e-02      
   0.028399       2.343418         1.678075e-02      
   0.028399       2.406661         1.556004e-02      
   0.028399       2.467459         1.368120e-02      
   0.028399       2.525649         1.156834e-02      
   0.028399       2.581075         9.495097e-03      
   0.028399       2.633586         7.617474e-03      
   0.028399       2.683041         6.006820e-03      
   0.028399       2.729306         4.678734e-03      
   0.028399       2.772258         3.615986e-03      
   0.028399       2.811780         2.785065e-03      
   0.028399       2.847765         2.147103e-03      
   0.028399       2.880118         1.664349e-03      
   0.028399       2.908749         1.303467e-03      
   0.028399       2.933583         1.036791e-03      
   0.028399       2.954553         8.423747e-04      
   0.028399       2.971601         7.034536e-04      
   0.028399       2.984682         6.076940e-04      
   0.028399       2.993761         5.464489e-04      
   0.028399       2.998815         5.141284e-04      
   0.028399       3.004739         4.778124e-04      
   0.028399       3.024957         3.659591e-04      
   0.028399       3.061273         2.071746e-04      
   0.028399       3.113597         5.581075e-05      
   0.028399       3.181789         -4.387664e-05     
   0.028399       3.265666         -7.755653e-05     
   0.028399       3.365002         -6.308162e-05     
   0.028399       3.479529         -3.277925e-05     
   0.028399       3.608938         -1.026351e-05     
   0.028399       3.752880         -9.193608e-07     
   0.028399       3.910968         7.456080e-07      
   0.028399       4.082775         3.680670e-07      
   0.028399       4.267838         6.890169e-08      
   0.028399       4.465657         7.595270e-10      
   0.028399       4.675701         -1.956363e-09     
   0.028399       4.897402         -2.800052e-10     
   0.028399       5.130163         1.610850e-12      
   0.028399       5.373356         2.837813e-12      
   0.028399       5.626327         1.057235e-13      
   0.028399       5.888392         -9.231838e-15     
   0.028399       6.158845         -3.699634e-16     
   0.028399       6.436958         1.402590e-17      
   0.028399       6.721980         3.156562e-19      
   0.028399       7.013143         -1.014776e-20     
   0.028399       7.309662         -3.603650e-23     
   0.028399       7.610739         2.347266e-24      
   0.028399       7.915560         -1.231567e-26     
   0.028399       8.223305         -8.015817e-29     
   0.028399       8.533144         9.088542e-31      
   0.028399       8.844241         -2.607581e-33     
   0.028399       9.155759         -2.640084e-37     
   0.028399       9.466856         2.070001e-38      
   0.028399       9.776695         -7.676117e-41     
   0.028399       10.084440        1.863907e-43      
   0.028399       10.389261        -3.015133e-46     
   0.028399       10.690338        2.557788e-49      
   0.028399       10.986857        -2.543634e-52     
   0.028399       11.278020        -1.705816e-49     
   0.028399       11.563042        -7.829662e-47     
   0.028399       11.841155        -1.461256e-44     
   0.028399       12.111608        2.447755e-41      
   0.028399       12.373673        4.093270e-38      
   0.028399       12.626644        3.906617e-35      
   0.028399       12.869837        2.708423e-32      
   0.028399       13.102598        1.408524e-29      
   0.028399       13.324299        5.443450e-27      
   0.028399       13.534343        1.529188e-24      
   0.028399       13.732162        3.042528e-22      
   0.028399       13.917225        4.176079e-20      
   0.028399       14.089032        3.859169e-18      
   0.028399       14.247120        2.347616e-16      
   0.028399       14.391062        9.251613e-15      
   0.028399       14.520471        2.326909e-13      
   0.028399       14.634998        3.683792e-12      
   0.028399       14.734334        3.822355e-11      
   0.028399       14.818211        2.409174e-10      
   0.028399       14.886403        8.895455e-10      
   0.028399       14.938727        2.230377e-09      
   0.028399       14.975043        4.642505e-09      
   0.028399       14.995261        8.631039e-09      
   0.045447       0.001185         -1.977841e+00     
   0.045447       0.006239         -1.977776e+00     
   0.045447       0.015318         -1.977366e+00     
   0.045447       0.028399         -1.976224e+00     
   0.045447       0.045447         -1.973709e+00     
   0.045447       0.066417         -1.969042e+00     
   0.045447       0.091251         -1.961308e+00     
   0.045447       0.119882         -1.949505e+00     
   0.045447       0.152235         -1.932606e+00     
   0.045447       0.188220         -1.909636e+00     
   0.045447       0.227742         -1.879761e+00     
   0.045447       0.270694         -1.842363e+00     
   0.045447       0.316959         -1.797102e+00     
   0.045447       0.366414         -1.743938e+00     
   0.045447       0.418925         -1.683112e+00     
   0.045447       0.474351         -1.615093e+00     
   0.045447       0.532541         -1.540501e+00     
   0.045447       0.593339         -1.460039e+00     
   0.045447       0.656582         -1.374440e+00     
   0.045447       0.722098         -1.284446e+00     
   0.045447       0.789711         -1.190804e+00     
   0.045447       0.859239         -1.094293e+00     
   0.045447       0.930495         -9.957441e-01     
   0.045447       1.003286         -8.960866e-01     
   0.045447       1.077416         -7.963699e-01     
   0.045447       1.152685         -6.977752e-01     
   0.045447       1.228890         -6.015970e-01     
   0.045447       1.305826         -5.092016e-01     
   0.045447       1.383286         -4.219642e-01     
   0.045447       1.461060         -3.411912e-01     
   0.045447       1.538940         -2.680290e-01     
   0.045447       1.616714         -2.033734e-01     
   0.045447       1.694174         -1.477913e-01     
   0.045447       1.771110         -1.014720e-01     
   0.045447       1.847315         -6.421402e-02     
   0.045447       1.922584         -3.545041e-02     
   0.045447       1.996714         -1.431038e-02     
   0.045447       2.069505         2.911727e-04      
   0.045447       2.140761         9.549063e-03      
   0.045447       2.210289         1.466418e-02      
   0.045447       2.277902         1.675512e-02      
   0.045447       2.343418         1.679451e-02      
   0.045447       2.406661         1.557368e-02      
   0.045447       2.467459         1.369410e-02      
   0.045447       2.525649         1.158009e-02      
   0.045447       2.581075         9.505499e-03      
   0.045447       2.633586         7.626473e-03      
   0.045447       2.683041         6.014473e-03      
   0.045447       2.729306         4.685165e-03      
   0.045447       2.772258         3.621350e-03      
   0.045447       2.811780         2.789526e-03      
   0.045447       2.847765         2.150819e-03      
   0.045447       2.880118         1.667462e-03      
   0.045447       2.908749         1.306100e-03      
   0.045447       2.933583         1.039050e-03      
   0.045447       2.954553         8.443459e-04      
   0.045447       2.971601         7.052103e-04      
   0.045447       2.984682         6.092976e-04      
   0.045447       2.993761         5.479518e-04      
   0.045447       2.998815         5.155772e-04      
   0.045447       3.004739         4.791995e-04      
   0.045447       3.024957         3.671498e-04      
   0.045447       3.061273         2.080635e-04      
   0.045447       3.113597         5.636711e-05      
